Age,Type,Percentage
18-24,Mostly sitting,22.8
18-24,Mostly standing,26.8
18-24,Mostly walking,33.5
18-24,Mostly heavy labour or physically demanding work,17.4
25-34,Mostly sitting,45.5
25-34,Mostly standing,19.4
25-34,Mostly walking,20.2
25-34,Mostly heavy labour or physically demanding work,14.4
35-44,Mostly sitting,54.4
35-44,Mostly standing,17.4
35-44,Mostly walking,16.1
35-44,Mostly heavy labour or physically demanding work,11.8
45-54,Mostly sitting,52.9
45-54,Mostly standing,16.3
45-54,Mostly walking,16.9
45-54,Mostly heavy labour or physically demanding work,13.5
55-64,Mostly sitting,50.6
55-64,Mostly standing,17
55-64,Mostly walking,20.2
55-64,Mostly heavy labour or physically demanding work,11.3
